Date,Price
2019-10-01,8302.7
2019-10-02,8364.1
2019-10-03,8226.9
2019-10-04,8148.1
2019-10-05,8127.3
2019-10-06,7881.9
2019-10-07,8198.6
2019-10-08,8182.9
2019-10-09,8566.7
2019-10-10,8562.3
2019-10-11,8267.8
2019-10-12,8304.4
2019-10-13,8281.5
2019-10-14,8353.3
2019-10-15,8167.2
2019-10-16,8000.4
2019-10-17,8073.3
2019-10-18,7948.5
2019-10-19,7957.3
2019-10-20,8223.4
2019-10-21,8208.2
2019-10-22,8031.4
2019-10-23,7477.0
2019-10-24,7422.7
2019-10-25,8658.3
2019-10-26,9230.6
2019-10-27,9529.6
2019-10-28,9207.2
2019-10-29,9411.3
2019-10-30,9157.9
